storename,main_category,sub_category,item_name,item_price,item_info,item_unit,link
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Bref Power Backofen & Grill Reiniger,€5.22,500 ml,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/bref-power-backofen-grill-reiniger-itemid-64b65b0b9f8651f34645188b
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Der General Bodenreiniger Universal Bergfrühling,€2.96,750 ml,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/der-general-bodenreiniger-universal-bergfruhling-itemid-64b65b0b9f8651f346451887
sri balaji indian market mnchen,haushalt technik ,technik ,TobaliQ Motivfeuerzeug Music Style,€0.60,21 g,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/tobaliq-motivfeuerzeug-music-style-itemid-64b65b0b9f8651f346451893
sri balaji indian market mnchen,haushalt technik ,technik ,UHU Stic Klebestift ohne Lösungsmittel,€3.20,21 g,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/uhu-stic-klebestift-ohne-losungsmittel-itemid-64b65b0b9f8651f346451895
sri balaji indian market mnchen,haushalt technik ,technik ,Jeden Tag Batterie Alkaline Mignon AA 4er,€1.61,1 pc,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-batterie-alkaline-mignon-aa-4er-itemid-64ba924d64ce3d749aa9517d
sri balaji indian market mnchen,haushalt technik ,technik ,Jeden Tag Batterie Alkaline Micro AAA 4er,€1.65,1 pc,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-batterie-alkaline-micro-aaa-4er-itemid-64ba924d64ce3d749aa9517c
sri balaji indian market mnchen,kaffee tee kakao ,kakao ,Nestlé Nesquik Kakaohaltiges Getränkepulver,€2.99,400 g,€7.48/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/nestle-nesquik-kakaohaltiges-getrankepulver-itemid-64b65b0b9f8651f34645180d
sri balaji indian market mnchen,kaffee tee kakao ,kakao ,Bensdorp Kakao,€2.25,125 g,€7.48/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/bensdorp-kakao-itemid-64b65b0b9f8651f34645180c
sri balaji indian market mnchen,aufstriche cerealien ,honig ,Langnese Sommerblütenhonig Goldklar,€4.51,250 g,€18.04/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/langnese-sommerblutenhonig-goldklar-itemid-64b65b0b9f8651f3464517c1
sri balaji indian market mnchen,aufstriche cerealien ,honig ,Langnese Flotte Biene Gebirgsblütenhonig,€4.75,250 g,€18.04/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/langnese-flotte-biene-gebirgsblutenhonig-itemid-64b65b0b9f8651f3464517c2
sri balaji indian market mnchen,drogerie hygiene ,hausapotheke ,Sunlife Vitamin C Brausetabletten 20er,€1.18,80 g,€14.75/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/sunlife-vitamin-c-brausetabletten-20er-itemid-64b65b0b9f8651f3464517de
sri balaji indian market mnchen,drogerie hygiene ,hausapotheke ,Sunlife Magnesium Brausetabletten 20er,€1.18,80 g,€14.75/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/sunlife-magnesium-brausetabletten-20er-itemid-64b65b0b9f8651f3464517dd
sri balaji indian market mnchen,drogerie hygiene ,hausapotheke ,Bad Heilbrunner Erkältungs-Tee Arzneitee,€2.37,16 g,€14.75/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/bad-heilbrunner-erkaltungs-tee-arzneitee-itemid-64b65b0b9f8651f34645180b
sri balaji indian market mnchen,drogerie hygiene ,hausapotheke ,Hansaplast Universal Pflaster Wasserfest,€3.32,20 g,€14.75/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/hansaplast-universal-pflaster-wasserfest-itemid-64b65b0b9f8651f34645186b
